,Questions,Answers
1369,what is the specificity with which immunochromatographic tool could detect recombinant merscov nucleocapsid protein,100 % 
1370,what is a different approach for the detection,monoclonal antibodybased capture elisa targeting the merscov nucleocapsid protein
1371,what is usual in serology testing, to detect a viral footprint in the form of antibodies
1372,how have some seroassays bypassed the risks of working with infectious virus, by creating transfected cells expressing recombinant portions of the merscov nucleocapsid and spike proteins [
1373,how have some seroassays bypassed the risks of working with infectious virus,using a recombinant lentivirus expressing merscov spike protein and luciferase
1374,what is the detection of merscov infection using elisa or s1 subunit protein microarray is usually followed by,by confirmatory ifa and or a plaquereduction neutralization  or mnt test
1375,what does the confirmatory process aim to ensure,the antibodies detected are able to specifically neutralize the intended virus and are not more broadly reactive to other coronaviruses found in dcs or humans 
1376,when does generally mers infection does not trigger a detectable immune response,if only mild disease or asymptomatic infection results
1377,when does the who recommend samlinf from the lrt, when sample collection is delayed by a week or more after onset of symptoms
1378,what do the recommended samples include,are recommended when urt sampling is to be conducted
1379,what are recommended when urt sampling is to be conducted, an oropharyngeal and throat swab or a nasopharyngeal aspiratewash
1380,what paired sera are preferable, collected two to three weeks apart
1381, when is a single sample suggested to be sufficient,human urine and stool have been found to contain merscov rna
1382,how long human urine and stool have been found to contain merscov rna,12 to 26 days after symptom onset 
1383,what do individual studies report on viral shedding, long periods of viral shedding sometimes intermittently and not necessarily linked to the presence of disease symptoms
1384,what fraction of mers cases shed viral rna in their lrt specimens ,over three quarters of
1385,how long mers cases shed viral rna in their lrt specimens  ,at least 30 days
1386,what percentage of contacts were still shedding rna in their urt specimens,30 %
1387,what samples returned the highest mers viral load values, the proportion of deaths among those infected with merscov is much higher than that known for the hcovs nl63 hku1 229e or
1388,what is npa, nasopharyngeal aspirates
1389,what is npa,urt sample
1390,what is bal,bronchoalveolar lavage
1391,what is the the proportion of deaths among those infected with merscov, is much higher than that known for the hcovs nl63 hku1 229e or oc43
1392,what is the the proportion of deaths among those infected with merscov, above that for sarscov
1393,what  has prevented worldwide spread of merscov,the low transmission rate
1394,what must be reported to the world organization for animal health as an emerging disease ,animal merscov infections
